confidence,end_seconds,local_path,primary_label_weak,recording_id,sha256,species_label,species_name_zh,start_seconds
0.532928,24.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,21.0
0.373904,30.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,27.0
0.343651,33.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,30.0
0.282087,36.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,33.0
0.792803,39.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,36.0
0.727485,42.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,39.0
0.570206,45.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,42.0
0.265345,48.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,45.0
0.558286,51.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,48.0
0.453897,54.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,51.0
0.263454,60.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,57.0
0.093425,63.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,60.0
0.368616,66.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,63.0
0.68321,69.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,66.0
0.524377,72.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,69.0
0.865884,75.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,72.0
0.950947,78.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,75.0
0.428397,81.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,78.0
0.738211,84.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,81.0
0.436102,90.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,87.0
0.887253,96.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,93.0
0.126476,99.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,96.0
0.925373,102.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,99.0
0.912872,108.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,105.0
0.928234,114.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,111.0
0.9397,120.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,117.0
